Location,Hotel,Price
"Brooklyn, New York, United States of America",The Allen Hotel,$595
"Brooklyn, New York, United States of America",Hotel On Rivington,$659
"Brooklyn, New York, United States of America",Redford Hotel,$463
"Brooklyn, New York, United States of America",AC Hotel by Marriott New York Downtown,$580
"Brooklyn, New York, United States of America",Fairfield Inn New York Manhattan/Financial District,$471
"Brooklyn, New York, United States of America",Leon Hotel LES,$527
"Brooklyn, New York, United States of America",Eurostars Wall Street,$405
"Brooklyn, New York, United States of America","Hotel Indigo Lower East Side New York, an IHG Hotel",$594
"Brooklyn, New York, United States of America",The Ludlow Hotel,$834
"Brooklyn, New York, United States of America",Orchard Street Hotel,$413
"Brooklyn, New York, United States of America","Hotel 50 Bowery, part of JdV by Hyatt",$521
"Brooklyn, New York, United States of America","Holiday Inn Express New York City- Wall Street, an IHG Hotel","$2,497"
"Brooklyn, New York, United States of America",Hyatt Centric Wall Street New York,$429
"Brooklyn, New York, United States of America","Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",$493
"Brooklyn, New York, United States of America",The Wall Street Hotel,$760
"Brooklyn, New York, United States of America",Sonder at One Platt,$459
"Brooklyn, New York, United States of America",Courtyard by Marriott New York Downtown Manhattan/Financial District,$466
"Brooklyn, New York, United States of America",Residence Inn by Marriott New York Downtown Manhattan/Financial District,$535
"Brooklyn, New York, United States of America",Four Points By Sheraton New York Downtown,$424
"Brooklyn, New York, United States of America",SIXTY Lower East Side,$603
"Brooklyn, New York, United States of America",Moxy NYC Lower East Side,$599
"Brooklyn, New York, United States of America","Holiday Inn Express Maspeth, an IHG Hotel",$353
"Brooklyn, New York, United States of America",Mint House at 70 Pine,$665
"Brooklyn, New York, United States of America",Casa Cipriani New York,"$1,900"
"Brooklyn, New York, United States of America",citizenM New York Bowery,$610
"Brooklyn, New York, United States of America",The Wall Street Inn,$645
"Brooklyn, New York, United States of America",The Gatsby Hotel,$404
"Brooklyn, New York, United States of America",Untitled at 3 Freeman Alley,$500
"Brooklyn, New York, United States of America",NobleDEN Hotel,$621
"Brooklyn, New York, United States of America",Hilton Garden Inn NYC Financial Center/Manhattan Downtown,$477
"Brooklyn, New York, United States of America",Aloft Manhattan Downtown - Financial District,$443
"Brooklyn, New York, United States of America","PUBLIC, an Ian Schrager hotel",$641
"Brooklyn, New York, United States of America",Hampton Inn Manhattan/Downtown-Financial District,$446
